Tag	ClassType	DataType	Property	Value
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ModuleNmb	6
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Max	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Samples	100
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	SaveRequired	False
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Channel	20
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputMode	1
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Polarity	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	CalType	2
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Direction	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Description	BLK(A-96) IO(620)
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Offset	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ChassisID	1
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	ClassType	IO_NIDAQSCXIAnalogInput
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Tag	RIGHT MOTOR SOLENOID
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Help	5
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	CalDate	
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV1	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RawValue	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Device	1
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP1	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP2	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ProgID	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Type	
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Mapping	
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Value	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	RaisesEvent	False
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	DeviceNmb	1
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputRange	10
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Enabled	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Min	0
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Format	0.00
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Gain	1
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Scaling	0.1
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Detail	CAB(C5-A)  WIRE(269)
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV2	1
RIGHT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Units	
DISPLAYAnalog Inputs	IOdisplay	String	Group	IOdisplay
DISPLAYAnalog Inputs	IOdisplay	Boolean	Minimized	False
DISPLAYAnalog Inputs	IOdisplay	Int32	Top	428
DISPLAYAnalog Inputs	IOdisplay	Boolean	SaveRequired	False
DISPLAYAnalog Inputs	IOdisplay	Int32	Invert	0
DISPLAYAnalog Inputs	IOdisplay	String	ClassType	IOdisplay
DISPLAYAnalog Inputs	IOdisplay	String	Tag	DISPLAYAnalog Inputs
DISPLAYAnalog Inputs	IOdisplay	Int32	Width	525
DISPLAYAnalog Inputs	IOdisplay	Int32	ProgID	0
DISPLAYAnalog Inputs	IOdisplay	Boolean	RaisesEvent	False
DISPLAYAnalog Inputs	IOdisplay	String	Enabled	
DISPLAYAnalog Inputs	IOdisplay	String	Format	
DISPLAYAnalog Inputs	IOdisplay	String	Group	IOdisplay
DISPLAYAnalog Inputs	IOdisplay	Int32	Height	108
DISPLAYAnalog Inputs	IOdisplay	Int32	Left	1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ModuleNmb	6
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Max	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Samples	100
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	SaveRequired	False
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Channel	21
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputMode	1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Polarity	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	CalType	2
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Direction	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Description	BLK(A-97) IO(621)
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Offset	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ChassisID	1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	ClassType	IO_NIDAQSCXIAnalogInput
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Tag	LEFT MOTOR SOLENOID
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Help	5
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	CalDate	
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV1	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RawValue	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Device	1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP1	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	CP2	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	ProgID	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Type	
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Mapping	
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Value	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Boolean	RaisesEvent	False
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	DeviceNmb	1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	InputRange	10
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Enabled	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Min	0
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Format	0.00
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Int32	Gain	1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	Scaling	0.1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Group	Analog Inputs
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Detail	CAB(C5-B)  WIRE(268)
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	Double	RWV2	1
LEFT MOTOR SOLENOID	IO_NIDAQSCXIAnalogInput	String	Units	
SPEED SENSOR LEFT_1	IO_NIDAQFreqOutput	String	Group	Frequency Outputs
